A16,B12.5,C9.5,D4.75,E2.36,F0.6,G0.212,H0.075,Penetration,Softening point,Ductility,% of Bitumen,Marshall ï¬‚ow,Marshall stability
100,100,100,100,100,76.37,52.6,42.12,67,52,77,13.04,4.25,6.086
100,100,100,100,100,76.37,52.6,42.12,67,52,77,13.79,2.25,3.843
100,91.2,64.3,31.9,25.4,15.2,12.1,10.1,42,71,104,5,2.2,7.043
100,91.2,64.3,31.9,25.4,15.2,12.1,10.1,42,71,104,5.5,2.8,9.172
100,91.2,64.3,31.9,25.4,15.2,12.1,10.1,42,71,104,6,3.13,9.977
100,91.2,64.3,31.9,25.4,15.2,12.1,10.1,42,71,104,6.5,3.23,10.104
100,91.2,64.3,31.9,25.4,15.2,12.1,10.1,42,71,104,7,3.27,8.662
100,91.2,64.3,31.9,25.4,15.2,12.1,10.1,42,71,104,7.5,3.5,8.485
100,100,95,45,25,16,13,10,64,53,110,6.98,4.57,5.601
100,100,95,45,25,16,13,10,64,53,110,6.97,4.2,6.798
100,100,95,45,25,16,13,10,64,53,110,7.05,4.12,7.397
100,100,95,45,25,16,13,10,64,53,110,7.06,4.1,7.799
100,100,99,30,23,15,11,9,40,70,107,6.6,3.9,11.16
100,100,99,28,20,13,9,6,40,70,107,7.5,3.65,9.51
100,100,99,28,20,13,9,6,40,70,107,8.5,3.99,11.07
